config,pol_var__mean,pol_var__std,pol_var__count,pol_extremity__mean,pol_extremity__std,pol_extremity__count,pol_assort__mean,pol_assort__std,pol_assort__count,pol_ei__mean,pol_ei__std,pol_ei__count,crosscut_rate__mean,crosscut_rate__std,crosscut_rate__count,CI_accuracy_z__mean,CI_accuracy_z__std,CI_accuracy_z__count,CI_hidden_profile_rate__mean,CI_hidden_profile_rate__std,CI_hidden_profile_rate__count,CI_medrelerr_z__mean,CI_medrelerr_z__std,CI_medrelerr_z__count,CI_diversity__mean,CI_diversity__std,CI_diversity__count,CI_mean_gain_vs_pre__mean,CI_mean_gain_vs_pre__std,CI_mean_gain_vs_pre__count,trait_drift_mean__mean,trait_drift_mean__std,trait_drift_mean__count,POL_composite__mean,POL_composite__std,POL_composite__count,CI_composite__mean,CI_composite__std,CI_composite__count,pol_bimodality__mean,pol_bimodality__std,pol_bimodality__count,filler_variance__mean,filler_variance__std,filler_variance__count,distinct2__mean,distinct2__std,distinct2__count,self_bleu3__mean,self_bleu3__std,self_bleu3__count,runtime_s__mean,runtime_s__std,runtime_s__count
abex_e1_agreeableness_high,0.8037687499999999,0.12539861567218355,8,1.496875,0.06632913063977677,8,-0.011220968428444689,0.04025116558545623,8,0.5268529671801407,0.06782598687660327,8,0.05454966314685813,0.030851217443306444,8,-0.16443739604047927,0.5263387304236203,8,0.10749999999999987,0.027386127875258428,8,-0.1047289921152838,0.5953480142243597,8,0.15616201306137767,0.01633647374873599,8,0.0034424969991206254,0.06916506126947776,8,0.32992546913451193,0.015558775221674771,8,0.04380892416910172,0.4021834160669949,8,-0.47424509136289184,0.5369692422718358,8,0.7397486690912741,0.0375277889657743,8,1.7441,0.30830099392824356,8,0.5292226602046152,0.057561342865637584,8,0.31707428886911704,0.05607290204292681,8,196.925,4.982469267341241,8
abex_e1_agreeableness_low,1.1020499999999998,0.20630440927356403,8,1.40125,0.05132181379714256,8,-0.025721142097875065,0.037267643559097056,8,0.607611510812812,0.11863490517335835,8,0.16309422583012215,0.051991848915802406,8,0.09617223607976647,0.5228456763184748,8,0.165,0.02790289283517801,8,-0.0006619824490458571,0.38944876932677397,8,0.16422187051807802,0.010479753246416722,8,0.024665553733296753,0.03109824292967947,8,0.35771279747433915,0.009805672237370748,8,0.23663134180083198,0.37192218941894123,8,0.6004413142506969,0.7336802987547703,8,0.5805045035212406,0.11116328952870079,8,1.0435624999999997,0.3757271385973756,8,0.5512060311175578,0.06240938223115712,8,0.29939401949593614,0.07089917175493315,8,187.8625,5.247022965453844,8
abex_e1_norm_baseline,1.1616624999999998,0.07228917499479806,8,1.28875,0.04680888194105287,8,-0.021913255427096125,0.03203151603945701,8,0.45407211568126415,0.101355394819349,8,0.1672492179332824,0.03437023519095441,8,0.06826515996069399,0.47074921529051106,8,0.115625,0.018980723303996007,8,0.1053909745643496,0.4140459258225003,8,0.14828758152369426,0.019620162200980194,8,-0.009482702465390375,0.048625712984266795,8,0.3362712648594399,0.013186738592390099,8,-0.28044026596993277,0.4154585355171009,8,-0.1261962228878052,0.4794079378183814,8,0.6239838632237954,0.028825635971162056,8,1.5174624999999997,0.22455506443695683,8,0.5655181452798991,0.04918382434495557,8,0.3081930130477949,0.05097343174762872,8,191.3875,4.919186198665684,8
abpr_e1_agreeableness_high,0.35275624999999955,0.06691398229657029,8,1.240625,0.0307568227041927,8,-0.014692256944690502,0.02163203403470689,8,0.8200474400530038,0.06869757773808825,8,0.00915020629189925,0.007494053490179738,8,-0.3226143097760256,0.29962632158164215,8,0.10312500000000001,0.028022631160240064,8,-0.2920217400644732,0.2420447104132489,8,0.1363711386872223,0.024448506891348185,8,-0.041988928347252374,0.08080387278238298,8,0.3310593067101879,0.02450219113075652,8,0.17230913867062925,0.18701582327539465,8,-0.6773115759817399,0.6680945236633584,8,0.6103650248133371,0.03660681204340314,8,0.6880499999999996,0.06661756525121584,8,0.5220404705696291,0.044151772121978614,8,0.3265566072244029,0.05175049953093579,8,190.95,3.6229427660003513,8
abpr_e1_agreeableness_low,1.3066749999999998,0.07518871495871464,8,0.89375,0.03952847075210473,8,-0.020628512843246065,0.02969957077957232,8,0.261543533036373,0.1488577958206627,8,0.19614025676166463,0.03755530384550591,8,0.22629536504503728,0.3200371563624702,8,0.15062499999999987,0.03098818899424224,8,0.07402817424419292,0.31098376191619204,8,0.14793881815405213,0.02568168063356829,8,-0.023299744268699,0.06646147919717849,8,0.3578375163856742,0.012278993767111876,8,-0.3685406141744285,0.297748047524353,8,0.7638476436353664,0.6209828744775032,8,0.5227132358343035,0.02960856076048259,8,0.33099999999999974,0.14933507864626328,8,0.5753326738467507,0.05972132256459519,8,0.26372631791210616,0.06035879620155644,8,183.9875,5.903857697665628,8
abpr_e1_neuroticism_high,1.8197437499999995,0.14935748686935163,8,1.388125,0.06605936183247824,8,-0.0070682284805154375,0.044287688259371544,8,0.40354801082644154,0.07049576808485786,8,0.16578079152698239,0.02871258663536666,8,0.09506306858010369,0.41598511386854,8,0.13249999999999987,0.017113069358158633,8,-0.009959118641418033,0.3108476224371001,8,0.15132141761924467,0.01837634897513348,8,0.012670884468703125,0.04948278209621439,8,0.3484791665272845,0.02353607515781125,8,0.7567354594843404,0.2875878380871753,8,0.3063168800508644,0.5624533972408668,8,0.7405954590059015,0.019011080138052253,8,0.11089999999999951,0.048434875274508384,8,0.47840928835476604,0.04127969955381332,8,0.3550448331784138,0.052384606423110734,8,194.125,6.2346382642230544,8
abpr_e1_norm_baseline,0.8089749999999999,0.17746540709187733,8,0.9837499999999999,0.061280968847246035,8,-0.03289073258071851,0.02282121616970312,8,0.48558147504596055,0.13275083029701784,8,0.057668671005225255,0.023465065197131596,8,0.1412664442521042,0.37454248881371016,8,0.133125,0.016461535252130743,8,0.09495743431387577,0.29838987758143903,8,0.15098219314982705,0.015385544957168148,8,0.05668479002819451,0.05053756055094347,8,0.34202880661655666,0.011562641606712202,8,-0.37713739241553446,0.187904086782433,8,0.3713195787585889,0.5588737731169451,8,0.532362581651174,0.04743244316318827,8,0.6929374999999994,0.09618385575107084,8,0.5535961493653313,0.05583311882205598,8,0.3112037658785745,0.0911587807824925,8,187.5625,5.381963927256086,8
abpr_e1_openness_high,0.5377375,0.07356898487619824,8,1.2075,0.054707011825333086,8,-0.023408445386811066,0.03517310100503443,8,0.8181228216561903,0.0953406654916828,8,0.03183139288969525,0.020617748209560565,8,-0.006868483753518423,0.4299168783511483,8,0.10749999999999987,0.017928429140015845,8,-0.03264472993630553,0.23095197217421692,8,0.14623803623717024,0.01984737108595025,8,0.012336371244632625,0.09323330895035459,8,0.3104322831670114,0.012914984108623795,8,0.1539422951327516,0.2885049460636761,8,-0.23136089170188473,0.7452778478301019,8,0.5877949311172637,0.05046415168112508,8,1.0193874999999997,0.04854713284162997,8,0.44552827775943643,0.016724723931436192,8,0.4173846461088764,0.029388936666861928,8,196.2375,3.102965171757963,8
abpr_e2_diverse,1.3806624999999997,0.11884629554296486,8,1.07625,0.05823290675014801,8,-0.016742628551848254,0.04534967045128834,8,0.25606588370216826,0.07408119163352835,8,0.11897885577275952,0.0586732096710148,8,0.15857500563837462,0.2974344335305053,8,0.13625,0.03583194903195431,8,0.11069654246514746,0.3367718961006182,8,0.16134027715182148,0.025876236615850715,8,0.007792574737545002,0.05965611305688288,8,0.3602249483093394,0.008485336748013819,8,-0.06919469718922595,0.2924995441487657,8,0.4439234944144488,0.6158647911047554,8,0.6000810920450654,0.022909448170057124,8,0.6292375,0.1351326114547167,8,0.5579434204739645,0.06855429172366975,8,0.30386381722223565,0.1054184133733607,8,186.775,4.946499483761942,8
abpr_e2_homog,0.2879749999999994,0.03323196610838091,8,0.9625,0.04559135256352275,8,-0.015233791288861938,0.022718780113135415,8,0.9500547809761398,0.05866791784428918,8,0.001338845099999375,0.0023503159443262205,8,-0.46593227737227094,0.39975325535741557,8,0.08875,0.017474471175321526,8,-0.21944132193065663,0.43328278659490854,8,0.15673604087182608,0.02320156671029256,8,0.0067268705088500014,0.04514562284051651,8,0.3134049528745819,0.017502658880722475,8,-0.11250685036790842,0.20765762092547757,8,-1.0865235949603145,0.6486935800836743,8,0.5450491321503849,0.10247664584964408,8,0.8865624999999996,0.04779177865640572,8,0.5389304171650465,0.042406810422163634,8,0.3307706705323384,0.04359896955182978,8,182.4125,4.2783299478718515,8
