config,seed,realized_sd_mean,real_mu_openness,real_sd_openness,real_mu_conscientiousness,real_sd_conscientiousness,real_mu_extraversion,real_sd_extraversion,real_mu_agreeableness,real_sd_agreeableness,real_mu_neuroticism,real_sd_neuroticism
abex_e1_agreeableness_high,1,0.13079583753972496,0.4844003047994802,0.13286811816831084,0.513042652652841,0.12360684086146308,0.4931667751727579,0.134231654949282,0.7592824051091062,0.13254488023795816,0.5070069482435465,0.13072769348161056
abex_e1_agreeableness_high,2,0.1471763005334074,0.4972478660660035,0.13859726153279775,0.49863033156013264,0.16250943346748678,0.4956748992419221,0.15082093269729355,0.7506008822484924,0.14083297884064017,0.5027040604090305,0.1431208961288187
abex_e1_agreeableness_high,3,0.14463109540957741,0.5083007516675861,0.14120933038364875,0.4971558855512068,0.16283315067406817,0.533114589355544,0.15033884618632237,0.7805425733466405,0.11144304078700547,0.5095556594908937,0.1573311090168423
abex_e1_agreeableness_high,4,0.1426937015277042,0.4678820672604312,0.14515013556823103,0.5153670799792078,0.14241224005884182,0.5050072281305924,0.13932341747974694,0.7830104486185376,0.1263137369811578,0.48276261981264956,0.16026897755054328
abex_e1_agreeableness_high,5,0.1404113489093775,0.49600850753967335,0.14726246553663178,0.4974303150418724,0.14590502901317892,0.4947584081331172,0.13007281058360212,0.7656932001385336,0.13101451085849045,0.5060172174366555,0.14780192855498422
abex_e1_agreeableness_high,6,0.1451559837870302,0.4791702626879536,0.16347974589175354,0.49314948328921304,0.16229277462533356,0.5063552259885274,0.14411766535987358,0.7884082263170724,0.11887120094977296,0.49694833346607736,0.13701853210841727
abex_e1_agreeableness_high,7,0.135061659575094,0.47421053208655634,0.14045137457901827,0.48539010621502093,0.13808510406240943,0.48032328516663797,0.13569032687787588,0.7555542719774677,0.11677880473227048,0.49285019199543206,0.1443026876238958
abex_e1_agreeableness_high,8,0.1459307683260201,0.5188467605965819,0.14370693593966116,0.49638370208954746,0.13502179406182827,0.5146333762113009,0.15237531546465063,0.763048011226747,0.1327133639716382,0.49926871079419155,0.16583643219232205
abex_e1_agreeableness_low,1,0.1354277275392655,0.4961379730939494,0.1372442152422263,0.5135517940168739,0.1274572996960296,0.48120587965254574,0.14373988589538317,0.22590959975657832,0.1318927170387219,0.5005617572041282,0.13680451982396633
abex_e1_agreeableness_low,2,0.14254747921435068,0.4977924748119063,0.13290681430028303,0.49659687509879247,0.16172706714769244,0.49369903452056874,0.15351292155689067,0.20352305304084595,0.12404494125820131,0.49451102453587853,0.1405456518086858
