config,runs,pol_var,crosscut_rate,reply_total,reply_cross,pairs_opposing,pairs_possible,frac_nonzero,pct_pairs_opposing
e1_agreeableness_high,2,,0.04515252683948678,598.5,25.0,4069.0,18358.0,0.9625,22.16472382612485
e1_neuroticism_high,2,,0.20392232332405175,583.0,119.0,5034.0,19504.0,0.9924999999999999,25.810090237899917
e1_norm_baseline,2,,0.17993133583021223,435.0,72.5,4892.0,16502.0,0.9125000000000001,29.6448915282996
e2_diverse,2,,0.19845451352300666,456.5,75.0,5678.0,16333.0,0.9075,34.76397477499541
e2_homog,2,,0.06295470931375761,702.0,40.5,2625.0,18055.0,0.955,14.538908889504292
