condition,metric,six,six_p,two,two_p,same_sign
agreeableness_high,pol_var,-0.5269604166666665,1.8133751906066783e-06,-0.47630000000000017,0.001776499540208261,True
agreeableness_high,pol_extremity,0.16687499999999994,3.048765017175849e-07,0.21250000000000002,0.0005378110530939327,True
agreeableness_high,crosscut_rate,-0.11938980248807636,0.0032642609598684913,-0.1105176901189915,0.000279928611514416,True
agreeableness_high,pol_ei,0.29721816996612216,3.234420588854172e-05,0.16617918841365464,0.08100166137294784,True
agreeableness_low,pol_var,0.38224583333333345,0.0002686072487898647,-0.2176437499999999,0.04674589068165342,False
agreeableness_low,pol_extremity,-0.017083333333333284,0.3333311619708554,0.09687500000000002,0.04446246708299751,False
agreeableness_low,crosscut_rate,0.04038263750993851,0.20403021181143363,0.006930456860758119,0.7726846207266445,True
agreeableness_low,pol_ei,-0.12281959813608243,0.011837935912754642,0.22900474950881627,0.01043883302421801,False
conscientiousness_high,pol_var,-0.19361249999999985,0.0006184946615203963,-0.15845624999999972,0.10512648050900447,True
conscientiousness_high,pol_extremity,0.23916666666666667,9.620362797108202e-10,0.215625,0.0002675480749257946,True
conscientiousness_high,crosscut_rate,-0.08558939402296412,0.013358393617091811,-0.06174194762271988,0.0005382938375290593,True
conscientiousness_high,pol_ei,0.15392857497242685,0.002627123570884874,0.0829522209062622,0.14410001524872726,True
conscientiousness_low,pol_var,0.3181604166666667,0.00042060530845245553,-0.031256249999999805,0.6750036769595038,False
conscientiousness_low,pol_extremity,-0.11062500000000003,0.0004629932252338231,-0.03937500000000002,0.2835619626685557,True
conscientiousness_low,crosscut_rate,0.09055260444793325,0.03396904631018734,0.08771829932878238,0.01681609464178392,True
conscientiousness_low,pol_ei,-0.2008778619648302,0.00032103086937383375,0.009747713945586947,0.8697572401125915,False
extraversion_high,pol_var,-0.3194291666666666,1.7699516076958956e-05,-0.21661249999999996,0.059122891827806244,True
extraversion_high,pol_extremity,0.11791666666666656,2.361924682678087e-06,0.07500000000000001,0.04702656078687566,True
extraversion_high,crosscut_rate,-0.0735666536226475,0.02125765650195348,-0.03825219679184012,0.10836608918927594,True
extraversion_high,pol_ei,0.23313097605117136,0.00014834466829233498,0.13581188371931646,0.1259360647533973,True
extraversion_low,pol_var,0.15582291666666673,0.0009505960796505036,-0.13748124999999986,0.16595808012382016,False
extraversion_low,pol_extremity,-0.061458333333333476,0.000256115157149633,0.04562499999999997,0.20875454110055655,False
extraversion_low,crosscut_rate,0.038102704218066,0.18057433323208755,0.01839140112573113,0.4085730939819586,True
extraversion_low,pol_ei,-0.07986290577581363,0.08221552837932532,0.16154324398247244,0.06905440553608123,False
neuroticism_high,pol_var,0.6634125000000002,4.423136634506696e-06,0.2599937499999999,0.024764254025938508,True
neuroticism_high,pol_extremity,0.13791666666666655,5.617038046465832e-05,0.23437500000000003,0.00010784730897512587,True
neuroticism_high,crosscut_rate,0.08053961539577562,0.02241421777708367,0.016371191861700995,0.427389746782766,True
neuroticism_high,pol_ei,-0.12178215938935573,0.0036810600690858996,0.12545074722139912,0.13790363870532477,False
neuroticism_low,pol_var,-0.366175,6.3807024864848845e-06,-0.15451249999999989,0.22581805055232776,True
neuroticism_low,pol_extremity,0.06458333333333335,0.0020384871721459185,0.056249999999999994,0.1743705731030985,True
neuroticism_low,crosscut_rate,-0.06459692023150687,0.03968224529413799,-0.02340758258654537,0.2717924900280562,True
neuroticism_low,pol_ei,0.25034169391560324,0.0001607223424638596,0.09070461767524632,0.31466237323032575,True
openness_high,pol_var,-0.4941729166666665,8.104746204145782e-07,-0.31785624999999984,0.0012827228118617692,True
openness_high,pol_extremity,0.2377083333333333,5.832318771431853e-06,0.14687500000000003,0.0004106319082685396,True
openness_high,crosscut_rate,-0.11847077323314412,0.0015140111866750914,-0.06299789752177762,0.009222455039298747,True
openness_high,pol_ei,0.32450666892357555,1.1661233612628192e-08,0.12921982232243281,0.03347910618676554,True
openness_low,pol_var,0.2206520833333335,0.0003065667715073936,-0.09997499999999991,0.17146348181704885,False
openness_low,pol_extremity,-0.11604166666666677,0.00015387174351678775,0.017500000000000016,0.48855623683629423,False
openness_low,crosscut_rate,0.12874212542519162,0.002679718966469576,0.07119183749839236,0.00738058157098513,True
openness_low,pol_ei,-0.20180007204679612,0.0001299598734513212,0.04983951944779987,0.4246604972496102,False
diverse,pol_var,0.5270687500000002,1.6730947516749886e-05,0.3069375000000002,0.01850299104259787,True
diverse,pol_extremity,0.06854166666666664,0.0019008541389086032,0.0925,0.03568059829640882,True
diverse,crosscut_rate,0.05790929998153825,0.07821810321484444,0.020658630383100625,0.2544680976140999,True
diverse,pol_ei,-0.14421311216924376,0.008560520059800673,-0.03590060430056757,0.5460546684917955,True
homog,pol_var,-0.8285291666666668,9.932803792687683e-09,-0.78316875,3.2691363812129805e-05,True
homog,pol_extremity,-0.0800000000000001,8.942787644749337e-05,-0.11937500000000001,0.0006801923773768876,True
homog,crosscut_rate,-0.12696786384654463,0.0006227254621256919,-0.12013843781444086,9.567793875041946e-06,True
homog,pol_ei,0.414711243828361,3.492146945679941e-09,0.3336426911825823,0.001127577382851231,True
human_norm,pol_var,-0.8866416666666668,7.335574696690174e-08,-0.79228125,1.9637843474627558e-05,True
human_norm,pol_extremity,0.4279166666666667,1.1430517999057161e-08,0.328125,1.105097251764222e-05,True
human_norm,crosscut_rate,-0.1386356003488465,0.00015021310409853367,-0.13455828612329263,5.7331271622122625e-05,True
human_norm,pol_ei,0.4977736189639449,3.7243746246500636e-09,0.4864811980412762,1.942400880337228e-05,True
mid,pol_var,0.01812708333333321,0.5398682441150435,-0.051668749999999986,0.5454596166764406,False
mid,pol_extremity,0.010208333333333347,0.6205378661680785,-0.021875000000000006,0.6303761991719534,False
mid,crosscut_rate,-0.007893412015521748,0.7021571545728943,0.03232515769815425,0.11531598452449202,False
mid,pol_ei,-0.011734116810565954,0.5250428871507055,0.0039030438901469476,0.9461923457437639,False
