model,size,tag,rho_O,delta_O,rho_A,delta_A,gate,span,surface
Llama-3.2-3B,3,llama3b,0.8503904055243742,0.35479797979798056,0.9566892062149209,0.7067805383022776,"FAIL(O:magnitude,A:magnitude)",0.09,flat
Qwen2.5-3B,3,qwen3b,0.8614110432930648,1.3194444444444442,0.47633051162246687,1.2083333333333335,FAIL(A:rank),0.68,crossover
Qwen2.5-7B,7,qwen7,0.9526610232449337,1.1300505050505047,0.9486832980505139,1.92572463768116,pass,2.06,additive
Llama-3.1-8B,8,base,0.9486832980505139,2.224129163488431,0.9486832980505139,3.0603864734299524,pass,0.94,crossover
Qwen2.5-14B,14,q,0.969087423704698,1.3888888888888893,0.9486832980505139,2.166666666666668,pass,1.28,crossover
Qwen2.5-32B,32,large,0.9526610232449337,2.305555555555556,0.9526610232449337,1.8392857142857149,pass,0.45,crossover
