family,config,baseline,metric,n_pairs,mean_baseline,mean_condition,mean_diff,ci_lo,ci_hi,cohens_dz,hedges_g,cliffs_delta,p_ttest,p_wilcoxon,wilcoxon_min_possible_p,p_holm
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,CI_accuracy_z,8,0.06826515996069399,-0.16443739604047927,-0.23270255600117326,-0.5458051780841131,0.08753688065787614,-0.47789988991633553,-0.4406202290412168,-0.28125,0.2185178321046107,0.3828125,0.0078125,0.4370356642092214
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,CI_accuracy_z,8,0.06826515996069399,0.0961722360797665,0.027907076119072477,-0.3098066570602222,0.4002532843495651,0.049901513093613695,0.05303706544894568,-0.03125,0.8917330895753016,0.9453125,0.0078125,0.8917330895753016
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,CI_diversity,8,0.14828758152369426,0.16422187051807802,0.015934288994383754,-0.000363081385875149,0.028925094072009782,0.6971149518890567,0.9578202885152988,0.53125,0.08926214783821847,0.109375,0.0078125,0.17852429567643693
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,CI_diversity,8,0.14828758152369426,0.1561620130613777,0.007874431537683416,-0.011407951151189184,0.0254814127246372,0.27741756993748395,0.4123892270427778,0.34375,0.45838253009909513,0.546875,0.0078125,0.45838253009909513
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,CI_hidden_profile_rate,8,0.115625,0.16499999999999998,0.049375,0.035625000000000004,0.06125,2.5039291740862826,1.9562823672191447,0.828125,0.00019672210795827205,0.0078125,0.0078125,0.0003934442159165441
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,CI_hidden_profile_rate,8,0.115625,0.10749999999999987,-0.008125000000000122,-0.031250000000000375,0.01437500000000001,-0.22919660442805667,-0.32603568607344596,-0.109375,0.5374893392760618,0.4609375,0.0078125,0.5374893392760618
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,CI_mean_gain_vs_pre,8,-0.009482702465390375,0.024665553733296753,0.034148256198687124,-0.00174853461452475,0.0667920651154615,0.6453466518436539,0.7910434145558294,0.375,0.11070280603573215,0.109375,0.0078125,0.2214056120714643
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,CI_mean_gain_vs_pre,8,-0.009482702465390375,0.0034424969991206254,0.012925199464511003,-0.04414083605394222,0.06521371538082725,0.15166962391637948,0.20440549355786353,0.21875,0.6808262126227635,0.7421875,0.0078125,0.6808262126227635
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,CI_medrelerr_z,8,0.1053909745643496,-0.10472899211528383,-0.21011996667963337,-0.6555588065150223,0.1953495347677422,-0.3196695192362338,-0.3874203420062157,-0.21875,0.3959594181032992,0.4609375,0.0078125,0.7919188362065984
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,CI_medrelerr_z,8,0.1053909745643496,-0.0006619824490458615,-0.10605295701339544,-0.362256781862091,0.14906345077394667,-0.2635482703564724,-0.24946350299382336,-0.125,0.4802892692664865,0.640625,0.0078125,0.7919188362065984
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,crosscut_rate,8,0.1672492179332824,0.054549663146858135,-0.11269955478642427,-0.1503606593806434,-0.07810125426062162,-2.021840139620049,-3.2626550286030502,-1.0,0.0007213408004340477,0.0078125,0.0078125,0.0014426816008680954
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,crosscut_rate,8,0.1672492179332824,0.16309422583012215,-0.004154992103160249,-0.0284828168390285,0.020244134003895003,-0.10946699114970804,-0.08913745389350793,-0.03125,0.7658638204239321,0.84375,0.0078125,0.7658638204239321
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,pol_assort,8,-0.021913255427096125,-0.01122096842844469,0.010692286998651435,-0.016991357025689068,0.04089705104328837,0.23636048532689083,0.27791822772459496,0.0,0.5252207971422266,0.640625,0.0078125,1.0
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,pol_assort,8,-0.021913255427096125,-0.025721142097875065,-0.0038078866707789375,-0.042293600495156625,0.031721898024602964,-0.07055783140893052,-0.10360733802129343,-0.15625,0.847492142097495,0.546875,0.0078125,1.0
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,pol_ei,8,0.45407211568126415,0.607611510812812,0.15353939513154777,0.0891592059540667,0.21342591674172962,1.5754311640287153,1.3156832664405003,0.71875,0.0029502597572890897,0.0078125,0.0078125,0.0059005195145781794
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,pol_ei,8,0.45407211568126415,0.5268529671801407,0.07278085149887661,0.004770651105221403,0.1429590445844171,0.6799003131646655,0.797938461822828,0.46875,0.09589855880813986,0.1484375,0.0078125,0.09589855880813986
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,pol_extremity,8,1.28875,1.4968750000000002,0.20812500000000003,0.17312500000000006,0.2425,3.865081734314687,3.427808900478441,0.96875,1.1854874876066014e-05,0.0078125,0.0078125,2.3709749752132028e-05
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,pol_extremity,8,1.28875,1.40125,0.11250000000000002,0.07374999999999995,0.15625000000000003,1.747843498872746,2.1655066193249692,0.921875,0.0016682220686527343,0.0078125,0.0078125,0.0016682220686527343
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,pol_var,8,1.1616624999999998,0.8037687499999999,-0.35789375,-0.4704893749999999,-0.2594187500000001,-2.162590505545303,-3.3060710301794325,-1.0,0.0004830596477983703,0.0078125,0.0078125,0.0009661192955967406
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,pol_var,8,1.1616624999999998,1.1020499999999998,-0.05961250000000004,-0.2019374999999998,0.08044921874999973,-0.27125133602603435,-0.3646171063503553,-0.125,0.4680365545472207,0.4609375,0.0078125,0.4680365545472207
abex,abex_e1_agreeableness_low,abex_e1_norm_baseline,trait_drift_mean,8,0.3362712648594399,0.35771279747433915,0.021441532614899256,0.011503763926217813,0.030932835724743882,1.4217907559961251,1.7446021197023067,0.84375,0.00505041758889761,0.015625,0.0078125,0.01010083517779522
abex,abex_e1_agreeableness_high,abex_e1_norm_baseline,trait_drift_mean,8,0.3362712648594399,0.32992546913451193,-0.006345795724928008,-0.020493542560530507,0.0062220172582719835,-0.3045529082434528,-0.4160188909479218,-0.1875,0.41754227965752266,0.4609375,0.0078125,0.41754227965752266
abpr,abpr_e2_homog,abpr_e1_norm_baseline,CI_accuracy_z,8,0.1412664442521042,-0.46593227737227094,-0.6071987216243752,-0.9287226036404199,-0.21776217829685202,-1.1083761378103314,-1.4820557619475756,-0.75,0.016494916693163983,0.0390625,0.0078125,0.14845425023847586
abpr,abpr_e1_agreeableness_high,abpr_e1_norm_baseline,CI_accuracy_z,8,0.1412664442521042,-0.32261430977602557,-0.4638807540281298,-0.8331324895613506,-0.04346383414586008,-0.7541093661148777,-1.2931333977973802,-0.6875,0.07036370570036972,0.078125,0.0078125,0.5629096456029578
